Trip ID,Destination,Start date,End date,Duration (days),Accommodation type, Accommodation cost ,Transportation type, Transportation cost 
77,"Cape Town, SA",01-10-2027,10-10-2027,9,Guesthouse, $400.00 ,Car, $300.00 
78,"Bali, Indonesia",12-12-2027,19-11-2023,7,Resort, $600.00 ,Plane, $700.00 
79,"Sydney, Aus",05-03-2028,12-03-2028,7,Hotel, $900.00 ,Plane, $600.00 
80,"Bangkok, Thai",15-05-2024,22-05-2024,7,Hotel, $400.00 ,Plane, $400.00 
81,"New York, USA",20-08-2024,27-08-2024,7,Hotel," $1,500.00 ",Plane," $1,000.00 "
82,"Phuket, Thai",01-02-2029,08-02-2029,7,Resort, $700.00 ,Plane, $800.00 
83,"Rome, Italy",15-04-2025,22-04-2025,7,Hotel, $100.00 ,Plane, $800.01
84,Paris,15-06-2021,20-06-2021,6,Hotel, $800.00 ,Plane, $500.00 
85,Tokyo,01-08-2025,10-08-2025,10,Airbnb, $500.00 ,Train, $300.00 
86,Bali,10-09-2025,20-08-2021,11,Resort," $1,200.00 ",Plane, $700.00 
87,Sydney,01-10-2025,10-10-2025,9,Hotel, $900.00 ,Plane, $600.00 
88,New York,15-10-2021,20-10-2021,6,Airbnb, $700.00 ,Car rental, $200.00 
89,London,20-11-2021,30-11-2021,11,Hostel, $300.00 ,Plane, $400.00 
90,Dubai,01-02-2026,08-02-2026,8,Hotel," $1,000.00 ",Plane, $800.00 
91,Bangkok,14-02-2022,20-02-2022,7,Airbnb, $400.00 ,Train, $100.00 
92,Rome,10-04-2026,20-03-2022,11,Hostel, $200.00 ,Plane, $350.00 
93,Bali,15-04-2022,25-04-2022,11,Villa," $1,500.00 ",Car rental, $300.00 
94,Seoul,01-06-2026,10-06-2026,10,Hotel, $800.00 ,Train, $150.00 
95,Paris,15-06-2022,20-06-2022,5,Hotel," $1,000.00 ",Plane, $800.00 
96,Tokyo,01-10-2026,10-10-2026,9,Airbnb, $800.00 ,Train, $500.00 
97,Sydney,23-11-2022,13-02-2026,9,Hostel," $1,200.00 ",Plane, $100.00 
98,London,14-02-2023,19-02-2023,5,Hotel, $400.00 ,Plane," $1,200.00 "
99,New York,08-06-2027,14-05-2023,6,Airbnb, $600.00 ,Car rental, $700.00 
100,Rome,20-08-2023,27-08-2023,7,Hotel, $900.00 ,Plane, $400.00 
101,Bangkok,12-12-2027,20-11-2023,8,Hostel, $400.00 ,Train, $150.00 
102,Cape Town,06-02-2028,14-01-2024,8,Airbnb," $1,500.00 ",Plane, $600.00 
103,Rio de Janeiro,03-05-2028,10-05-2028,7,Hotel, $700.00 ,Car rental, $150.00 
104,Bali,22-07-2024,28-07-2024,6,Villa, $100.00 ,Plane, $900.00 
105,Amsterdam,10-11-2028,17-10-2024,7,Hotel, $800.00 ,Train, $800.00 
106,Paris,15-05-2022,20-05-2022,5,Hotel, $500.00 ,Plane, $700.00 
107,Tokyo,01-10-2026,10-10-2026,9,Airbnb," $1,200.00 ",Train, $100.00 
108,New York,20-06-2022,25-06-2022,5,Hotel, $900.00 ,Car rental, $200.00 
109,Bali,12-09-2026,20-08-2022,8,Resort," $1,500.00 ",Plane," $1,200.00 "
110,Sydney,01-08-2026,10-08-2026,9,Hostel, $300.00 ,Plane, $900.00 
111,London,10-07-2026,15-06-2022,5,Hotel, $900.00 ,Train, $150.00 
112,Phuket,05-10-2026,12-10-2026,7,Villa," $2,000.00 ",Plane, $700.00 
113,Rome,01-06-2026,08-06-2026,7,Hotel," $1,100.00 ",Train, $250.00 
114,Santorini,15-07-2022,22-07-2022,7,Airbnb," $1,000.00 ",Ferry, $150.00 
115,Dubai,25-08-2022,30-08-2022,5,Hotel," $1,500.00 ",Car rental, $300.00 
116,Phnom Penh,10-10-2026,15-09-2022,5,Hostel, $200.00 ,Plane, $500.00 
117,"Tokyo, Japan",05-03-2026,14-02-2022,9,Hotel," $1,000.00 ",Plane, $700.00 
118,"Paris, France",15-03-2022,22-03-2022,7,Hotel," $1,200.00 ",Train, $500.00 
119,"Sydney, Aus",01-06-2026,12-06-2026,11,Airbnb, $800.00 ,Plane," $1,000.00 "
120,"Rome, Italy",10-07-2026,17-06-2022,7,Hotel, $900.00 ,Train, $400.00 
121,"Bali, Indonesia",20-07-2022,30-07-2022,10,Hostel, $500.00 ,Plane, $800.00 
122,"Cancun, Mexico",08-09-2026,16-08-2022,8,Hotel," $1,300.00 ",Plane, $600.00 
123,"Athens, Greece",20-09-2022,30-09-2022,10,Airbnb, $700.00 ,Plane, $900.00 
124,"Tokyo, Japan",05-11-2026,13-10-2022,8,Hotel," $1,200.00 ",Plane, $700.00 
125,"Sydney, Aus",11-12-2026,21-11-2022,10,Airbnb, $900.00 ,Plane," $1,000.00 "
126,"Paris, France",24-12-2022,01-02-2027,8,Hostel, $400.00 ,Plane, $700.00 
127,"Bali, Indonesia",10-03-2027,18-02-2023,8,Hotel, $800.00 ,Plane, $800.00 
129,"Paris, France",01-06-2027,07-06-2027,6,Hotel," $5,000.00 ",Airplane," $2,500.00 "
130,"Tokyo, Japan",15-05-2023,22-05-2023,7,Airbnb," $7,000.00 ",Train," $1,500.00 "
131,"Cape Town, South Africa",01-07-2027,10-07-2027,9,Hostel," $3,000.00 ",Car," $2,000.00 "
132,"Sydney, Australia",15-06-2023,21-06-2023,6,Hotel," $6,000.00 ",Airplane," $3,000.00 "
133,"Rome, Italy",01-08-2027,08-08-2027,7,Airbnb," $4,000.00 ",Train," $1,500.00 "
134,"New York City, USA",15-07-2023,22-07-2023,7,Hotel," $8,000.00 ",Airplane," $2,500.00 "
135,"Rio de Janeiro, Brazil",01-09-2027,10-09-2027,9,Hostel," $2,500.00 ",Car," $2,000.00 "
136,"Vancouver, Canada",15-08-2023,21-08-2023,6,Hotel," $5,000.00 ",Airplane," $3,000.00 "
137,"Bangkok, Thailand",01-10-2027,08-10-2027,7,Hostel," $2,000.00 ",Train," $1,000.00 "
138,"Barcelona, Spain",15-09-2023,22-09-2023,7,Airbnb," $6,000.00 ",Airplane," $2,500.00 "
139,"Auckland, New Zealand",01-11-2027,08-11-2027,7,Hotel," $7,000.00 ",Train," $2,500.00 "
